quote,speaker,episode,Tags
A grown man made a wager. He lost. He made another one—he lost again. End of story.,Tony Soprano,S2 E6,Money
All this from a slice of gabagool?,Tony Soprano,S3 E3,Food
"Alright, we'll find that too.",Tony Soprano,S6 E1,Comedy
Amazing thing about snakes is that they reproduce spontaneously.,Paulie Gualtieri,S3 E9,"Nature, Animals"
Anthony Jr. might have stumbled onto existentialism. Fucking internet.,Dr. Jennifer Melfi,S2 E7,Technology
Be a good Catholic for fifteen fucking minutes.,Carmela Soprano,S2 E7,Religion
Better if I never open my mouth.,Livia Soprano,S2 E6,Conversation
"Brandy, go sit on a tuffet.",Tony Soprano,,Comedy
"Buy land, cause God ain’t making any more of it.",Tony Soprano,S3 E10,"Religion, Place"
Can’t catch a break.,Tony Soprano,,Negativity
Carmela could you please shut the door!,Tony Soprano,S4 E5,Comedy
Carmela: kiss my ass.,Carmela Soprano,,"Insult, Crude Humor"
Cazzata Malanga.,Uncle Junior,S6 E1,Comedy
Certain aspects of show business and our thing.,Silvio Dante,S4 E1,"Power, Respect, Business, Status"
Circle-jerk of life. Where's the dignity?,Tony Soprano,S6 E1,"Power, Respect, Comedy"
Depression is rage turned inwards.,Dr. Jennifer Melfi,S5 E10,"Depression, Mental Health"
Don't you love me?,Tony Soprano,,Love
Even a broken clock is right twice a day.,Tony Soprano,,Comedy
"Everybody knows you’ve been the biggest fucking cooze-hound around for the past 4-5 years. Your midlife crisis, you’d fuck a catcher’s mitt.",Christopher Moltisanti,S5 E5,"Insult, Crude Humor, Sports, Sex"
Everything we see and experience is not all there is.,Tony Soprano,,Comedy
Fear knocked on the door. Faith answered. There was no one there.,Christopher Moltisanti,,Religion
Focus on the good times.,Tony Soprano,S6 E21,"Optimism, Self-Help"
Fuck him. I hope that parasite eats his asshole out.,Christopher Moltisanti,S6 E1,"Optimism, Self-Help, Insult, Crude Humor, Nature"
"Fuck you want, a boutonniere?",Uncle Junior,S6 E21,"Insult, Crude Humor, Clothes"
Fucking depressing.,Paulie Gualtieri,,Negativity
Get your hearing checked.,Paulie Gualtieri,,Health
Go shit in your hat.,Uncle Junior,S5 E3,"Insult, Crude Humor, Clothes"
Goddamn motherfucking orange peel beef!,Tony Soprano,S4 E13,"Food, Comedy"
"Grab a sandwich and we’ll talk later… I mean, you’re staying over, right?",Tony Soprano,S1 E12,"Food, Conversation"
Green Grove is a retirement community!,Tony Soprano,S1 E1,Place
"Harry Winston, baby! More carrots than Bugs Bunny.",Christopher Moltisanti,S4 E2,"Food, Pop Culture, History"
"He’s an emotional wreck, Tony! So seeing a pair of tits is gonna send him over the edge?",Carmela Soprano,S6 E17,"Depression, Mental Health, Insult, Crude Humor, Sex"
His brother was worse!,Hesh Rabkin,S3 E2,Comedy
Hope comes in many forms.,Dr. Jennifer Melfi,S1 E1,"Optimism, Self-Help"
I am here! I have things to say!,Carmela Soprano,S4 E13,Comedy
"I been dreaming of that fucking lo mein all the way the fuck over here. Now, who came in here and ate my shit?",Tony Soprano,S3 E13,"Food, Insult, Crude Humor"
I can’t find Pussy anywhere! Nobody knows anything!,Tony Soprano,S1 E11,"Insult, Crude Humor, Sex"
I'd rather they hold a pillow over my face.,Tony Soprano,S6 E1,Health
"I don’t care how close you are: in the end, your friends are gonna let you down. Family. They’re the only ones you can depend on.",Tony Soprano,,"Family, Trust, Negativity"
"I find I have to be the sad clown: laughing on the outside, crying on the inside.",Tony Soprano,S1 E1,"Depression, Mental Health"
I fuckin’ love cheese at my feet! I stick motherfucking Provolone in my socks at night so they’ll smell your sister’s crotch in the morning!,Silvio Dante,S2 E6,"Food, Family, Insult, Crude Humor, Love"
I fucking knew it! No you didn’t fucking know it! I just told you!,Mikey Palmice,S1 E9,"Trust, Negativity"
I GET IT!!!,Tony Soprano,S6 E18,Comedy
I got fuckin’ Johnnie Cochran right here for you!,Big Pussy Bonpensiero,S1 E11,"Pop Culture, History"
I gotta stand here being threatened?,Tony Soprano,,"Trust, Negativity, Violence"
I guess you could call that a dick.,Paulie Gualtieri,S3 E7,"Insult, Crude Humor, Sex"
I had a banana in there.,Uncle Junior,S6 E1,"Food, Comedy"
I like people who don’t need everyone to like them.,Tony Soprano,,Comedy
"I'll tell ya, one of the best things about droppin' the weight? All new wardrobe. I keep it up I'm gonna need Clothing Anonymous.",Vito Spatafore,S6 E1,"Clothes, Health"
I lost my uppers.,Uncle Junior,S6 E1,Clothes
I’m 46 years old. Who am I? Where am I going?,Tony Soprano,S6 E2,"Confusion, Comedy"
I’m like King Midas in reverse. Everything I touch turns to shit.,Tony Soprano,S1 E1,"Pop Culture, History, Insult, Crude Humor, Negativity"
"I’m not saying there’s nothing out there, but to not live your life? What the fuck are you gonna do?",Tony Soprano,S6 E21,"Insult, Crude Humor, Negativity"
"I presume you got a family. I’m a family man myself, and I gotta tell you I’d rather take two shots to the back of the head than not be able to feed my family.",Tony Soprano,,"Family, Money"
I’ve fucking had it. With what? Everything.,Uncle Junior,S4 E11,"Confusion, Comedy"
I wish the Lord would take me now.,Livia Soprano,S1 E1,Religion
"If you can quote the rules, then you can obey them.",Tony Soprano,S4 E6,"Power, Respect, Duty"
If you’re going to lie to me.,Uncle Junior,S3 E7,"Trust, Negativity"
"In my thoughts, I use the technique of positive visualization.",Christopher Moltisanti,S1 E8,"Optimism, Self-Help, Conversation"
"In my thoughts, I used a technique of positive visualization. How come I always feel undermined?",Christopher Moltisanti,S1 E8,"Optimism, Self-Help, Trust, Negativity, Conversation"
Is everyone in my life fuckin’ bananas?,Tony Soprano,,"Confusion, Comedy"
Is everything about everybody really about their mothers?,Tony Soprano,S4 E8,"Confusion, Comedy"
Isaac Newton invented gravity ’cause some asshole hit him with an apple!,Christopher Moltisanti,S6 E17,"Pop Culture, History, Insult, Crude Humor, Health"
